[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team02/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.1, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team02\basic (iter 0 = 초기 network)
iter  89 | step 4449822 | return    0.993 | len 1406.2 | damage -0.026 | shaping  -0.786 | ent  8.872 | kl 0.0359 | ev  0.957 | altT 1 | pool5 W/L/D 18/2/16 raw_wr 0.50 ema[min 0.319 mean 0.816]
iter  90 | step 4499820 | return    0.933 | len 1176.8 | damage  0.039 | shaping  -0.856 | ent  8.749 | kl 0.0387 | ev  0.919 | altT 3 | pool5 W/L/D 29/3/8 raw_wr 0.72 ema[min 0.351 mean 0.819]
iter  91 | step 4549818 | return    2.731 | len 1469.1 | damage -0.003 | shaping   0.310 | ent  8.861 | kl 0.0363 | ev  0.952 | altT 0 | pool5 W/L/D 17/0/16 raw_wr 0.52 ema[min 0.349 mean 0.823]
iter  92 | step 4599816 | return    2.914 | len 1283.5 | damage  0.016 | shaping  -0.352 | ent  8.693 | kl 0.0367 | ev  0.927 | altT 0 | pool5 W/L/D 26/0/14 raw_wr 0.65 ema[min 0.366 mean 0.831]
iter  93 | step 4649814 | return    3.180 | len 1449.7 | damage  0.003 | shaping   0.605 | ent  8.780 | kl 0.0359 | ev  0.949 | altT 0 | pool5 W/L/D 18/2/15 raw_wr 0.51 ema[min 0.366 mean 0.834]
iter  94 | step 4699812 | return    2.467 | len 1154.5 | damage  0.012 | shaping  -0.336 | ent  8.677 | kl 0.0362 | ev  0.948 | altT 1 | pool5 W/L/D 29/2/12 raw_wr 0.67 ema[min 0.371 mean 0.836]
iter  95 | step 4749810 | return    2.595 | len 1418.5 | damage  0.004 | shaping   1.020 | ent  8.656 | kl 0.0345 | ev  0.961 | altT 1 | pool5 W/L/D 16/2/17 raw_wr 0.46 ema[min 0.365 mean 0.824]
iter  96 | step 4799808 | return    2.849 | len 1644.1 | damage  0.034 | shaping   0.939 | ent  8.574 | kl 0.0364 | ev  0.909 | altT 0 | pool5 W/L/D 13/0/19 raw_wr 0.41 ema[min 0.355 mean 0.816]
iter  97 | step 4849806 | return    1.896 | len 1312.6 | damage  0.086 | shaping  -0.082 | ent  8.754 | kl 0.0359 | ev  0.860 | altT 1 | pool5 W/L/D 22/1/14 raw_wr 0.59 ema[min 0.364 mean 0.823]
iter  98 | step 4899804 | return    1.367 | len 1299.2 | damage  0.046 | shaping   0.295 | ent  8.592 | kl 0.0365 | ev  0.934 | altT 3 | pool5 W/L/D 21/4/14 raw_wr 0.54 ema[min 0.365 mean 0.815]
