[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/ppo_phase1'
[claude_code/PPO] opponent 초기화 = iter0 정책 (EMA α=0.05, 승격 임계 EMA≥0.60, 초기 EMA=0.5)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\ppo_phase1 (iter 0 = 초기 network)
iter  84 | step 8399664 | return    4.709 | len 1331.4 | damage  0.027 | dist  1.010 | aim  0.023 | ent  5.057 | kl 0.0195 | ev  0.888 | opp(gen3) W/L/D 32/3/39 raw_wr 0.43 ema 0.487
iter  85 | step 8499660 | return    4.736 | len 1372.4 | damage  0.044 | dist  1.051 | aim  0.030 | ent  4.910 | kl 0.0210 | ev  0.881 | opp(gen3) W/L/D 33/2/37 raw_wr 0.46 ema 0.485
iter  86 | step 8599656 | return    5.584 | len 1349.1 | damage  0.052 | dist  1.535 | aim  0.049 | ent  5.090 | kl 0.0206 | ev  0.888 | opp(gen3) W/L/D 39/2/35 raw_wr 0.51 ema 0.487
iter  87 | step 8699652 | return    4.789 | len 1402.5 | damage  0.031 | dist  1.697 | aim  0.061 | ent  5.042 | kl 0.0204 | ev  0.858 | opp(gen3) W/L/D 27/4/39 raw_wr 0.39 ema 0.482
iter  88 | step 8799648 | return    5.069 | len 1410.1 | damage  0.055 | dist  2.068 | aim  0.089 | ent  4.962 | kl 0.0201 | ev  0.832 | opp(gen3) W/L/D 30/4/36 raw_wr 0.43 ema 0.479
iter  89 | step 8899644 | return    4.641 | len 1536.3 | damage  0.043 | dist  2.157 | aim  0.097 | ent  5.091 | kl 0.0207 | ev  0.807 | opp(gen3) W/L/D 21/5/38 raw_wr 0.33 ema 0.471
iter  90 | step 8999640 | return    5.394 | len 1429.3 | damage  0.064 | dist  2.560 | aim  0.131 | ent  5.111 | kl 0.0212 | ev  0.841 | opp(gen3) W/L/D 34/6/32 raw_wr 0.47 ema 0.472
iter  91 | step 9099636 | return    5.337 | len 1485.0 | damage  0.044 | dist  2.622 | aim  0.133 | ent  4.917 | kl 0.0208 | ev  0.856 | opp(gen3) W/L/D 32/4/31 raw_wr 0.48 ema 0.472
iter  92 | step 9199632 | return    4.486 | len 1537.2 | damage  0.065 | dist  2.555 | aim  0.148 | ent  4.935 | kl 0.0195 | ev  0.885 | opp(gen3) W/L/D 23/5/36 raw_wr 0.36 ema 0.466
iter  93 | step 9299628 | return    4.851 | len 1605.0 | damage  0.037 | dist  2.729 | aim  0.149 | ent  4.962 | kl 0.0192 | ev  0.891 | opp(gen3) W/L/D 22/4/36 raw_wr 0.35 ema 0.461
