iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
96,4799808,2.8488,1644.1,32,-0.04649,0.00121,8.5740,0.03641,0.9086,0.0000,0.0345,0.9393,1.8750,107.78,13,0,19,0.4062,0.8155,0.3550,5,0,0
97,4849806,1.8965,1312.6,37,-0.02549,0.00130,8.7537,0.03587,0.8602,0.0000,0.0862,-0.0816,1.8919,108.23,22,1,14,0.5946,0.8229,0.3640,5,0,1
98,4899804,1.3672,1299.2,39,-0.03393,0.00154,8.5924,0.03646,0.9337,0.0000,0.0463,0.2952,1.0256,109.43,21,4,14,0.5385,0.8152,0.3651,5,0,3
99,4949802,3.3557,1077.1,47,-0.04777,0.00246,8.6708,0.03683,0.9657,0.0000,0.0616,0.2090,3.0851,108.79,36,1,10,0.7660,0.8252,0.3863,5,0,1
100,4999800,2.7092,1239.0,40,-0.03306,0.00143,8.6211,0.03687,0.9254,0.0000,0.1775,0.0318,2.5000,109.44,28,1,11,0.7000,0.8294,0.3976,5,0,1
101,5049798,2.0874,1271.6,38,-0.03953,0.00115,8.6615,0.03624,0.9641,0.0000,0.1061,0.0076,1.9737,109.69,23,3,12,0.6053,0.8231,0.4079,5,0,2
102,5099796,2.3473,1280.6,39,-0.03388,0.00165,8.5647,0.03868,0.9428,0.0000,0.0158,0.2802,2.0513,108.84,25,3,11,0.6410,0.8304,0.4152,5,0,2
103,5149794,2.6612,1147.3,45,-0.03342,0.00130,8.6719,0.03593,0.9372,0.0000,0.0149,-0.0204,2.6667,109.02,31,1,13,0.6889,0.8331,0.4273,5,0,1
104,5199792,2.2866,1420.9,36,-0.03393,0.00202,8.5250,0.03578,0.9523,0.0000,0.0409,0.0234,2.2222,108.65,22,1,13,0.6111,0.8363,0.4327,5,0,1
105,5249790,2.4530,1286.8,40,-0.04686,0.00167,8.5658,0.03631,0.9677,0.0000,0.0913,0.1117,2.2500,108.90,24,1,15,0.6000,0.8315,0.4286,5,0,1
106,5299788,3.4228,1198.0,39,-0.03703,0.00161,8.4435,0.03501,0.9471,0.0000,0.0754,0.7833,2.5641,108.47,26,1,12,0.6667,0.8319,0.4286,5,0,1
107,5349786,2.8599,1244.8,40,-0.03969,0.00141,8.4039,0.03599,0.9468,0.0000,0.1285,0.2314,2.5000,108.45,27,1,12,0.6750,0.8299,0.4413,5,0,1
108,5399784,3.1711,1097.3,46,-0.02048,0.00159,8.3592,0.03930,0.9173,0.0000,0.0373,-0.0184,3.1522,120.74,36,1,9,0.7826,0.8377,0.4611,5,0,1
109,5449782,2.3882,1101.5,46,-0.03067,0.00106,8.4876,0.03853,0.8566,0.0000,0.0882,0.0174,2.2826,117.06,32,2,12,0.6957,0.8422,0.4567,5,0,2
110,5499780,3.1199,1207.2,41,-0.04370,0.00159,8.4274,0.03823,0.9303,0.0000,0.0758,0.2392,2.8049,115.11,29,4,8,0.7073,0.8452,0.4670,5,0,1
111,5549778,3.5764,1087.2,49,-0.04621,0.00153,8.4609,0.03637,0.9699,0.0000,0.0380,0.1711,3.3673,115.38,36,0,13,0.7347,0.8499,0.4661,5,0,0
112,5599776,3.4370,1142.6,43,-0.03529,0.00120,8.5730,0.03504,0.9685,0.0000,-0.0071,0.3046,3.1395,116.01,27,1,15,0.6279,0.8489,0.4395,5,0,0
113,5649774,3.3451,1049.3,47,-0.04531,0.00095,8.4400,0.03614,0.9680,0.0000,0.0610,-0.2266,3.5106,117.65,34,2,11,0.7234,0.8536,0.4436,5,0,0
